Variable,Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
AGE,Δ Mean (Synthetic − Real),0.11,-0.03,-0.02,0.04,0.00,0.00,-0.15,-0.03
AGE,Δ SD (Synthetic − Real),0.00,-0.00,-0.01,0.01,0.04,-0.01,-0.02,-0.01
ESCS,Δ Mean (Synthetic − Real),-0.02,0.13,0.07,0.08,0.02,0.09,0.03,0.01
ESCS,Δ SD (Synthetic − Real),0.11,-0.17,-0.11,-0.04,0.05,-0.10,-0.17,-0.06
MCLSIZE,Δ Mean (Synthetic − Real),-0.30,0.14,0.86,-0.32,-0.09,-0.16,0.18,0.50
MCLSIZE,Δ SD (Synthetic − Real),-0.19,0.06,-0.03,-0.04,0.19,0.02,-0.03,-0.02
PV10MATH,Δ Mean (Synthetic − Real),-9.39,20.43,4.23,-3.83,-6.24,4.78,7.38,2.42
PV10MATH,Δ SD (Synthetic − Real),11.30,-32.12,-6.85,-14.39,35.92,-8.67,0.94,-1.91
PV1MATH,Δ Mean (Synthetic − Real),-7.17,20.02,3.35,-8.08,2.94,-0.74,9.60,2.35
PV1MATH,Δ SD (Synthetic − Real),24.90,-31.88,-6.65,-7.81,33.40,-5.28,0.41,-2.43
PV2MATH,Δ Mean (Synthetic − Real),18.01,20.65,3.85,-3.26,-4.35,2.74,5.75,2.76
PV2MATH,Δ SD (Synthetic − Real),14.33,-33.00,-6.75,-10.69,36.43,-7.50,1.76,-1.10
PV3MATH,Δ Mean (Synthetic − Real),6.35,19.94,4.03,-9.44,-1.64,6.13,6.89,2.85
PV3MATH,Δ SD (Synthetic − Real),14.39,-30.56,-5.35,-17.60,28.76,-8.69,2.09,-1.79
PV4MATH,Δ Mean (Synthetic − Real),2.19,21.87,5.89,-7.38,-7.87,2.99,6.67,1.81
PV4MATH,Δ SD (Synthetic − Real),23.00,-32.95,-6.61,-16.26,40.91,-9.58,0.50,-2.06
PV5MATH,Δ Mean (Synthetic − Real),0.51,22.21,3.13,-14.00,0.42,-0.00,1.51,2.60
PV5MATH,Δ SD (Synthetic − Real),24.17,-30.87,-6.78,-13.48,0.89,-8.24,0.58,-1.58
PV6MATH,Δ Mean (Synthetic − Real),13.37,20.25,2.90,-5.63,-6.13,3.20,3.53,2.29
PV6MATH,Δ SD (Synthetic − Real),16.75,-32.71,-7.28,-13.75,36.44,-9.10,2.80,-2.01
PV7MATH,Δ Mean (Synthetic − Real),14.59,21.64,3.87,-5.81,-2.07,4.66,3.18,2.78
PV7MATH,Δ SD (Synthetic − Real),10.90,-30.87,-6.66,-9.76,38.40,-5.65,-2.30,-1.17
PV8MATH,Δ Mean (Synthetic − Real),6.46,21.99,4.06,-6.79,-4.30,3.89,3.56,3.47
PV8MATH,Δ SD (Synthetic − Real),12.84,-31.88,-6.49,-16.12,30.43,-6.75,-0.43,-0.97
PV9MATH,Δ Mean (Synthetic − Real),5.74,20.57,3.92,-7.03,-4.15,2.91,5.66,2.20
PV9MATH,Δ SD (Synthetic − Real),15.54,-31.22,-6.64,-4.97,37.70,-8.37,-1.40,-1.45
SCHSIZE,Δ Mean (Synthetic − Real),128.94,13.58,49.35,321.57,1.99,-30.30,-247.97,-61.08
SCHSIZE,Δ SD (Synthetic − Real),75.98,-15.95,-92.71,164.95,-21.18,-45.42,-124.72,-129.88
